canada,variable,mean,sd,min,med,max,n.valid,pct.valid
0,ce,0.47368421052631576,0.506009406240056,0,0,1,38,100
0,cult,0.7631578947368421,0.4308514841827461,0,1,1,38,100
0,forest,0.2894736842105263,0.45960586739381004,0,0,1,38,100
0,lninc,11.262153733684212,0.22685918455273446,10.90536426,11.23536426,11.74636426,38,100
0,lnwtp,4.343315789473684,1.5075832836169454,1.053,4.2255,7.561,38,100
0,lnyear,2.109947368421053,0.9123999226088697,0,2.197,3.296,38,100
0,local,0.18421052631578946,0.39285945206319167,0,0,1,38,100
0,lumpsum,0.4473684210526316,0.5038966228735666,0,0,1,38,100
0,median,0.18421052631578946,0.39285945206319167,0,0,1,38,100
0,nema,0.39473684210526316,0.4953553834402849,0,0,1,38,100
0,nmw,0.3157894736842105,0.4710691208760756,0,0,1,38,100
0,nrev,0.23684210526315788,0.4308514841827461,0,0,1,38,100
0,obsid,1127.842105263158,76.35108322061707,1011,1136,1253,38,100
0,prov,0.5,0.5067117097095317,0,0.5,1,38,100
0,q0,189587.68421052632,520204.7509096574,0,11403,2131000,38,100
0,q1,221299.97368421053,598505.611686735,1408,12203.5,2382000,38,100
0,reg,0.631578947368421,0.4888515295293514,0,1,1,38,100
0,sagulf,0.18421052631578946,0.39285945206319167,0,0,1,38,100
0,studyid,112.57894736842105,7.660469179574388,101,113.5,125,38,100
0,volunt,0.23684210526315788,0.4308514841827461,0,0,1,38,100
0,wlfresh,0.5526315789473685,0.5038966228735666,0,1,1,38,100
1,ce,0.13636363636363635,0.35125008665710444,0,0,1,22,100
1,cult,0.09090909090909091,0.29424494316824984,0,0,1,22,100
1,forest,0.2727272727272727,0.4558423058385518,0,0,1,22,100
1,lninc,11.296545003636364,0.199979425194201,10.90227951,11.349160000000001,11.48863277,22,100
1,lnwtp,4.521921125545455,1.888489124271423,0,5.221032162,7.014814351,22,100
1,lnyear,1.8803531391818182,1.8549246694915364,1.146,1.332,7.606884531,22,100
1,local,0.6818181818181818,0.4767312946227962,0,1,1,22,100
1,lumpsum,0.13636363636363635,0.35125008665710444,0,0,1,22,100
1,median,0.18181818181818182,0.39477101697586137,0,0,1,22,100
1,nema,0,0,0,0,0,22,100
1,nmw,0,0,0,0,0,22,100
1,nrev,0.8636363636363636,0.35125008665710444,0,1,1,22,100
1,obsid,1285.8181818181818,14.984551929797451,1261,1283.5,1312,22,100
1,prov,0.4090909090909091,0.5032362797401965,0,0,1,22,100
1,q0,427349.5,526502.6579810581,0,11997,1307159,22,100
1,q1,588831.5454545454,744154.6119887752,5884,15250,1976843,22,100
1,reg,0.8181818181818182,0.39477101697586137,0,1,1,22,100
1,sagulf,0,0,0,0,0,22,100
1,studyid,128.3181818181818,1.5239786161593025,126,128,131,22,100
1,volunt,0.13636363636363635,0.35125008665710444,0,0,1,22,100
1,wlfresh,1,0,1,1,1,22,100
