PHJV
Allan Hills
Boundary Plateau
Cactus Lake
Conjuring Creek
Coteau Central
Coteau North
Coteau South 
Dana Hills 
Fox Valley
Hillmond 
Lenore/Ponass 
Lightning 
Pheasant Hills
Prince Albert
Quill South 
Regina East
Thickwood
Touchwood/Beaver
Tramping Lake East 
Upper Assiniboine 
Virden Sask
