studyid,obsid,lnwtp,wtp,wlfresh,lnyear,lninc_cad2017,sagulf,nema,nmw,local,prov,reg,cult,forest,q0,q1,volunt,lumpsum,ce,nrev,median,canada,q0alt,q1alt
128,1281,5.763088581,318.33,1,1.342,11.33738089,0,0,0,0,0,1,0,0,945189,1044702,0,0,0,1,0,1,,
128,1282,5.784932262,325.36,1,1.322,11.33738089,0,0,0,0,0,1,0,0,945189,1084782,0,0,0,1,0,1,,
128,1283,5.806248806,332.37,1,1.322,11.33738089,0,0,0,0,0,1,0,0,945189,1125461,0,0,0,1,0,1,,
128,1284,5.848632898,346.76,1,1.322,11.33738089,0,0,0,0,0,1,0,0,945189,1206820,0,0,0,1,0,1,,
128,1285,5.928524747,375.6,1,1.322,11.33738089,0,0,0,0,0,1,0,0,945189,1355977,0,0,0,1,0,1,,
129,1291,4.990296523,146.98,1,1.146,11.48863277,0,0,0,1,1,1,0,0,4200,8400,1,1,0,0,0,1,,
129,1292,4.446291681,85.31,1,1.146,11.48863277,0,0,0,1,1,1,0,0,4200,8400,1,1,0,0,0,1,,
129,1293,4.330470148,75.98,1,1.146,11.48863277,0,0,0,1,1,1,0,0,4200,8400,1,1,0,0,0,1,,
130,1301,2.841998174,17.15,1,1.301,10.90227951,0,0,0,1,1,0,0,1,0,5884,0,0,0,1,1,1,,
130,1302,1.778336449,5.92,1,1.301,10.90227951,0,0,0,1,1,0,0,1,0,11300,0,0,0,1,1,1,,
130,1303,0,-5.25,1,1.301,10.90227951,0,0,0,1,1,0,0,1,0,7408,0,0,0,1,1,1,,
130,1304,1.650579856,5.21,1,1.301,10.90227951,0,0,0,1,1,0,0,1,0,14318,0,0,0,1,1,1,,
