"","studyid","obsid","lnwtp","wlfresh","lnyear","lninc","sagulf","nema","nmw","local","prov","reg","cult","forest","q0","q1","volunt","lumpsum","ce","nrev","median","canada","q01","q_percent","lnwtp2","q_change","us"
"1",101,1011,5.265,1,0.651594987280755,2.18024393750285,0,0,1,1,0,1,1,0,-0.52143875720569,-0.524939476963902,0,0,0,0,0,0,1.2495,100,4.34910934814718,2.499,1
"2",104,1041,1.053,1,-1.00484171363278,-1.70776204121967,0,0,1,0,0,1,1,0,-0.514904923688355,-0.522758431229109,1,0,0,0,1,0,3.718,0.144175317185698,1.74614718055995,0.5,1
"3",104,1042,2.076,1,-1.00484171363278,-1.70776204121967,0,0,1,0,0,1,1,1,-0.390347599150289,-0.424600980161293,1,0,0,0,1,0,69.83,0.00718597298074153,2.76914718055995,0.5,1
"4",104,1043,1.832,1,-1.00484171363278,-1.70776204121967,0,0,1,0,0,1,1,1,-0.480525052285726,-0.495665359364917,1,0,0,0,1,0,21.966,0.0230244980659422,2.52514718055995,0.5,1
"5",104,1044,2.947,1,-1.00484171363278,-1.70776204121967,0,0,1,0,0,1,1,1,-0.519728053389733,-0.526559300583139,1,0,0,0,1,0,1.158,0.550660792951542,3.64014718055995,0.5,1
"6",106,1061,4.695,1,-0.176246386229968,-1.0050546586206,0,0,1,1,1,1,1,0,-0.502598406809685,-0.509348489039424,0,1,0,1,1,0,11.5,0.3,3.59638771133189,3,1
"7",113,1131,4.164,1,-0.176246386229968,0.00277566642281347,0,0,1,0,0,1,0,1,-0.107158292347941,-0.202012568615929,0,1,0,1,0,0,219.945,0.000500250125062607,6.3712749131896,0.110000000000014,1
"8",114,1141,2.197,1,0.346243660985816,1.43130580604856,0,1,0,1,0,0,1,1,-0.510439760644502,-0.519938958220007,0,1,1,0,0,0,5.8525,0.00496745460774228,5.73745944899567,0.0289999999999999,1
"9",114,1142,2.482,1,0.346243660985816,1.43130580604856,0,1,0,1,0,0,1,1,-0.510469905205136,-0.519938958220007,0,1,1,0,0,0,5.8445,0.00772930264513905,5.58309278921182,0.0449999999999999,1
"10",114,1143,2.742,1,0.346243660985816,1.43130580604856,0,1,0,1,0,0,1,1,-0.51049816573073,-0.519938958220007,0,1,1,0,0,0,5.837,0.0103323574995695,5.55541071676004,0.0599999999999996,1
"11",115,1151,5.554,1,-1.00484171363278,0.012021816193857,0,0,0,0,0,0,1,0,-0.470569811136477,-0.402449038457338,0,0,0,0,0,0,56,2.14814814814815,1.49355698945358,58,1
"12",115,1152,6.055,1,-1.00484171363278,0.012021816193857,0,0,0,0,0,0,1,0,-0.361295778839649,-0.343060454800625,0,0,0,0,0,0,105,0.470588235294118,2.36612054588606,40,1
"13",117,1171,3.853,1,0.0401383807987913,-1.15299305495725,0,0,1,0,0,0,0,0,-0.457381565859274,-0.454414049156963,0,0,0,0,0,0,42,0.470588235294118,1.08041127776022,16,1
"14",117,1172,3.734,1,0.0401383807987913,-1.15299305495725,0,0,1,0,0,0,0,0,-0.457381565859274,-0.417296184371517,0,0,0,0,0,0,54.5,1.20588235294118,0.020427933295692,41,1
"15",117,1173,3.857,1,0.0401383807987913,-1.15299305495725,0,0,1,0,0,0,0,0,-0.457381565859274,-0.380178319586071,0,0,0,0,0,0,67,1.94117647058824,-0.332654742026425,66,1
"16",119,1191,4.287,1,0.608619615431838,-0.112801205715194,0,0,1,1,0,0,1,0,-0.504482441849286,-0.51361704348975,1,1,0,0,1,0,9.5625,0.125,4.16921696434362,1.125,1
"17",120,1201,2.932,1,-1.52733176084856,-0.334708800220166,0,0,1,0,1,1,1,1,-0.453613495780073,-0.467776480479724,1,0,0,0,1,0,38.5,0.138888888888889,1.3225620875659,5,1
"18",122,1221,4.685,1,-0.314219948481755,0.252421710240908,1,0,0,1,0,0,0,0,-0.121311163565419,-0.212839107416548,0,0,0,0,0,0,212.543,0.00155383325956548,5.79366262452157,0.330000000000013,1
"19",125,1251,3.586,1,-0.482351666416993,0.284783234439548,1,0,0,0,1,1,1,1,-0.510134546968087,-0.516029704700804,1,1,0,1,0,0,7.25,0.416666666666667,2.66970926812584,2.5,1
"20",125,1252,3.307,1,-0.482351666416993,0.1368448381029,1,0,0,0,1,1,1,1,-0.510134546968087,-0.516029704700804,1,1,0,1,0,0,7.25,0.416666666666667,2.39070926812584,2.5,1
"21",125,1253,3.491,1,-0.482351666416993,0.349506282836828,1,0,0,0,1,1,1,1,-0.510134546968087,-0.516029704700804,1,1,0,1,0,0,7.25,0.416666666666667,2.57470926812584,2.5,1
"22",126,1261,6.226536669,1,-0.460487003546491,0.160978583466282,0,0,0,1,0,1,0,0,1.3407829247063,2.40639786831438,0,0,1,1,0,1,1482.6325,0.99999898828638,-0.669572051347676,988.421,0
"23",126,1262,6.180016654,1,-0.460487003546491,0.160978583466282,0,0,0,1,0,1,0,0,1.3407829247063,2.40639786831438,0,0,0,1,0,1,1482.6325,0.99999898828638,-0.716092066347676,988.421,0
"24",127,1271,3.589059119,1,-0.515525637668789,0.398394606289977,0,0,0,1,0,1,0,0,-0.498835988835603,-0.507091722860468,0,0,0,1,0,1,13.2585,0.210302575643911,2.66361044934108,2.523,0
"25",127,1272,5.451767801,1,-0.515525637668789,0.398394606289977,0,0,0,1,0,1,0,0,-0.498835988835603,-0.507091722860468,0,0,0,1,0,1,13.2585,0.210302575643911,4.52631913134108,2.523,0
